1280	1792	512	1302	1779	563
1536	1792	512	1535	1783	568
1792	1792	512	1773	1787	568
2048	1792	512	2012	1794	572
2303	1792	512	2253	1801	572
2559	1792	512	2496	1808	577
2815	1792	512	2739	1817	582
3071	1792	512	2983	1826	587
3327	1792	512	3228	1838	591
3583	1792	512	3472	1849	596
3839	1792	512	3717	1862	601
4095	1792	512	3963	1876	610
0	2048	512	548	2022	577
256	2048	512	587	2023	577
512	2048	512	715	2023	577
768	2048	512	894	2025	577
1024	2048	512	1102	2027	577
1280	2048	512	1323	2029	582
1536	2048	512	1553	2034	582
1792	2048	512	1787	2038	587
2048	2048	512	2026	2043	587
2303	2048	512	2265	2048	591
2559	2048	512	2506	2056	596
2815	2048	512	2748	2063	596
3071	2048	512	2991	2071	601
3327	2048	512	3235	2080	605
3583	2048	512	3479	2091	614
3839	2048	512	3724	2102	618
4095	2048	512	3969	2114	623
0	2303	512	614	2274	596
256	2303	512	648	2274	596
512	2303	512	764	2275	596
768	2303	512	933	2276	596
1024	2303	512	1132	2278	596
1280	2303	512	1347	2281	601
1536	2303	512	1573	2284	601
1792	2303	512	1805	2287	601
2048	2303	512	2041	2292	605
2303	2303	512	2278	2297	610
2559	2303	512	2517	2303	610
2815	2303	512	2758	2310	614
3071	2303	512	3001	2317	618
3327	2303	512	3243	2325	623
3583	2303	512	3487	2334	631
3839	2303	512	3731	2343	636
4095	2303	512	3975	2354	640
0	2559	512	681	2527	614
256	2559	512	715	2527	614
512	2559	512	817	2528	614
768	2559	512	974	2529	618
1024	2559	512	1165	2530	618
1280	2559	512	1375	2533	618
1536	2559	512	1597	2535	618
1792	2559	512	1825	2538	623
2048	2559	512	2058	2542	627
2303	2559	512	2293	2547	627
2559	2559	512	2530	2552	631
2815	2559	512	2770	2558	636
3071	2559	512	3012	2565	640
3327	2559	512	3254	2572	644
3583	2559	512	3496	2580	648
3839	2559	512	3739	2588	652
4095	2559	512	3983	2597	661
0	2815	512	747	2780	636
256	2815	512	778	2780	636
512	2815	512	871	2780	636
768	2815	512	1019	2781	640
1024	2815	512	1202	2782	640
1280	2815	512	1406	2785	640
1536	2815	512	1622	2787	644
1792	2815	512	1846	2790	644
2048	2815	512	2076	2793	648
2303	2815	512	2309	2798	648
2559	2815	512	2546	2803	652
2815	2815	512	2784	2808	657
3071	2815	512	3024	2813	661
3327	2815	512	3264	2820	665
3583	2815	512	3506	2827	669
3839	2815	512	3748	2835	673
4095	2815	512	3992	2842	681
0	3071	512	817	3033	661
256	3071	512	841	3033	661
512	3071	512	930	3033	661
768	3071	512	1068	3034	661
1024	3071	512	1243	3035	665
1280	3071	512	1439	3037	665
1536	3071	512	1650	3039	665
1792	3071	512	1870	3042	669
2048	3071	512	2097	3045	669
2303	3071	512	2327	3049	673
2559	3071	512	2562	3053	677
2815	3071	512	2798	3057	681
3071	3071	512	3037	3063	684
